,House_Type,Size,Floor,Price,BHK,location
0,Duplex,350,11,40000,6,"Alexandria, Al Ibrahimiyyah"
1,Apartment,360,9,3200000,8,"Alexandria, Bolkly"
2,Stand Alone Villa,400,4,2200000,8,"Alexandria, Borg al-Arab"
3,Stand Alone Villa,380,4,1800000,8,"Alexandria, Borg al-Arab"
4,Stand Alone Villa,400,4,3300000,9,"Alexandria, Borg al-Arab"
5,Stand Alone Villa,350,4,2700000,10,"Alexandria, Borg al-Arab"
6,Stand Alone Villa,300,4,2000000,9,"Alexandria, Borg al-Arab"
7,Stand Alone Villa,300,4,1700000,9,"Alexandria, Borg al-Arab"
8,Stand Alone Villa,366,4,3200000,9,"Alexandria, Borg al-Arab"
9,Stand Alone Villa,400,4,2300000,7,"Alexandria, Borg al-Arab"
10,Stand Alone Villa,300,4,3250000,9,"Alexandria, Borg al-Arab"
11,Stand Alone Villa,380,4,2500000,7,"Alexandria, Borg al-Arab"
12,Stand Alone Villa,400,4,2400000,7,"Alexandria, Borg al-Arab"
13,Duplex,380,11,10000,7,"Alexandria, Fleming"
14,Apartment,300,11,17000,7,"Alexandria, Fleming"
15,Apartment,330,3,3500000,7,"Alexandria, Glim"
16,Apartment,305,6,3950000,8,"Alexandria, Glim"
17,Apartment,375,12,4262000,6,"Alexandria, Glim"
18,Apartment,310,5,4500000,7,"Alexandria, Glim"
19,Apartment,300,5,3500000,7,"Alexandria, Glim"
20,Apartment,300,4,22000,8,"Alexandria, Kafr Abdo"
21,Apartment,300,4,26000,8,"Alexandria, Kafr Abdo"
22,Apartment,300,11,20000,6,"Alexandria, Kafr Abdo"
23,Apartment,300,2,60000,7,"Alexandria, Kafr Abdo"
24,Apartment,350,0,32000,7,"Alexandria, Kafr Abdo"
25,Duplex,300,0,40000,8,"Alexandria, Kafr Abdo"
26,Apartment,350,11,35000,8,"Alexandria, Kafr Abdo"
27,Apartment,320,5,3000000,7,"Alexandria, Mandara"
28,Duplex,300,11,890000,8,"Alexandria, Nakheel"
29,Duplex,300,5,550000,6,"Alexandria, Nakheel"
30,Apartment,320,2,920000,8,"Alexandria, Nakheel"
31,Duplex,300,5,640000,7,"Alexandria, Nakheel"
32,Apartment,300,5,550000,6,"Alexandria, Nakheel"
33,Duplex,360,4,560000,7,"Alexandria, Nakheel"
34,Duplex,400,11,920000,8,"Alexandria, Nakheel"
35,Duplex,300,5,650000,6,"Alexandria, Nakheel"
36,Apartment,325,2,30000,8,"Alexandria, Raml Station"
37,Apartment,400,4,45000,8,"Alexandria, Saba Pasha"
38,Apartment,400,4,50000,9,"Alexandria, Saba Pasha"
39,Apartment,386,3,156000,9,"Alexandria, San Stefano"
40,Apartment,360,8,15000,10,"Alexandria, San Stefano"
41,Apartment,300,11,50000,9,"Alexandria, San Stefano"
42,Apartment,375,12,4262000,6,"Alexandria, Sporting"
43,Apartment,300,11,4500000,9,"Alexandria, Sporting"
44,Apartment,310,6,2400000,7,"Alexandria, Zezenia"
